ID,Course,Year
MTH 148,Introductory Calculus I,2021
MTH 148,Introductory Calculus I,2021
MTH 149,Introductory Calculus II,2022
MTH 149,Introductory Calculus II,2022
MTH 207,Intro to Statistics,2017
MTH 207,Intro to Statistics,2017
MTH 207,Intro to Statistics,2018
MTH 207,Intro to Statistics,2018
MTH 207,Intro to Statistics,2019
MTH 207,Intro to Statistics,2019
MTH 207,Intro to Statistics,2019
MTH 207,Intro to Statistics,2020
MTH 207,Intro to Statistics,2020
MTH 207,Intro to Statistics,2020
MTH 207,Intro to Statistics,2020
MTH 207,Intro to Statistics,2021
MTH 207,Intro to Statistics,2021
MTH 328,Actuarial Problem Seminar,2021
MTH 367,Statistical Method I,2018
MTH 367,Statistical Method I,2018
MTH 367,Statistical Method I,2019
MTH 367,Statistical Method I,2019
MTH 367,Statistical Method I,2021
MTH 367,Statistical Method I,2021
MTH 411,Probability & Statistics I,2018
MTH 412,Probability & Statistics II,2020
MTH 412,Probability & Statistics II,2022
MTH 480,Math Capstone,2019
MTH 480,Math Capstone,2019
MTH 480,Math Capstone,2020
MTH 480,Math Capstone,2020
MTH 480,Math Capstone,2021
MTH 480,Math Capstone,2021
MTH 490,Introduction to Programming with R,2022
MTH 541,Math Clinic,2020
MTH 541,Math Clinic,2021
MTH 543,Linear Models,2019
